"Species","X","Y"
"Hypopachus variolosus",-93.527011,17.622734
"Hypopachus variolosus",-93.685843,17.721936
"Hypopachus variolosus",-88.272672,18.815882
"Hypopachus variolosus",-102.502804,21.155529
"Hypopachus variolosus",-93.523586,17.620965
"Hypopachus variolosus",-93.523586,17.620965
"Hypopachus variolosus",-93.57836,17.934627
"Hypopachus variolosus",-89.444972,18.512664
"Hypopachus variolosus",-88.456603,20.616878
"Hypopachus variolosus",-87.136081,20.589249
"Hypopachus variolosus",-99.775991,18.718895
"Hypopachus variolosus",-87.139646,20.621045
"Hypopachus variolosus",-89.309591,20.711908
"Hypopachus variolosus",-86.931962,20.857293
"Hypopachus variolosus",-89.248329,18.693507
"Hypopachus variolosus",-88.444923,20.590767
"Hypopachus variolosus",-88.446029,20.588276
"Hypopachus variolosus",-89.260697,21.32242
"Hypopachus variolosus",-87.546992,21.349904
"Hypopachus variolosus",-87.956633,21.457256
"Hypopachus variolosus",-99.106283,23.020056
"Hypopachus variolosus",-88.003418,21.430833
"Hypopachus variolosus",-101.695045,19.813107
"Hypopachus variolosus",-88.445839,20.588146
"Hypopachus variolosus",-88.446368,20.588113
"Hypopachus variolosus",-88.446131,20.588286
"Hypopachus variolosus",-88.446773,20.588719
"Hypopachus variolosus",-88.446948,20.58922
"Hypopachus variolosus",-90.015541,20.887514
"Hypopachus variolosus",-100.192453,19.166822
"Hypopachus variolosus",-96.191461,15.75378
"Hypopachus variolosus",-88.229199,21.156461
"Hypopachus variolosus",-87.135978,20.589067
"Hypopachus variolosus",-89.480605,18.41222
"Hypopachus variolosus",-103.193207,20.530027
"Hypopachus variolosus",-89.478506,18.398758
"Hypopachus variolosus",-100.004248,25.32626
"Hypopachus variolosus",-100.845905,19.935245
"Hypopachus variolosus",-88.444891,20.588105
"Hypopachus variolosus",-89.481178,18.407442
"Hypopachus variolosus",-87.368117,20.318059
"Hypopachus variolosus",-87.060675,20.886225
"Hypopachus variolosus",-108.942795,27.018207
"Hypopachus variolosus",-89.484091,18.51635
"Hypopachus variolosus",-88.206243,20.718945
"Hypopachus variolosus",-89.516176,21.068502
"Hypopachus variolosus",-89.516274,21.068554
"Hypopachus variolosus",-89.019905,20.18312
"Hypopachus variolosus",-99.703694,16.834776
"Hypopachus variolosus",-103.595865,21.996939
"Hypopachus variolosus",-101.68038,21.188179
"Hypopachus variolosus",-101.766401,21.293503
"Hypopachus variolosus",-101.765782,21.294234
"Hypopachus variolosus",-93.359054,16.797584
"Hypopachus variolosus",-87.956633,21.457256
"Hypopachus variolosus",-103.809258,19.471855
"Hypopachus variolosus",-103.809225,19.471874
"Hypopachus variolosus",-98.935574,22.266197
